package,component,description
quandl,,"Source for financial, economic, and alternative datasets."
queuelib,,"Collection of persistent (disk-based) queues"
readline,miniforge3,"library for editing command lines as they are typed in"
redis,,"Advanced key-value cache and store"
redis-py,,"Python client for Redis key-value store"
regex,,"Alternative regular expression module, to replace re"
reportlab,,"Open-source engine for creating complex, data-driven PDF documents and custom vector graphics"
requests,miniforge3,"Requests is an elegant and simple HTTP library for Python."
requests-file,,"file transport adapter for Requests"
requests-ftp,,"An FTP transport adapter for use with the Python Requests library"
requests-kerberos,,"Kerberos authentication handler for python-requests"
requests-unixsocket,jupyterlab,"Use requests to talk HTTP via a UNIX domain socket"
responses,,"A utility library for mocking out the `requests` Python library."
ripgrep,,"recursively searches directories for a regex pattern"
rope,,"A python refactoring library"
routes,,"Routing Recognition and Generation Tools"
rtree,,"R-Tree spatial index for Python GIS"
ruamel_yaml,miniforge3,"A patched copy of ruamel.yaml."
runipy,,"Run IPython notebooks from the command line"
s3fs,,"Convenient Filesystem interface over S3"
sas7bdat,,"file reader for Python"
sas_kernel,,"A Jupyter kernel for SAS"
saspy,,"A Python interface module to the SAS System"
scikit-bio,,"Data structures, algorithms and educational resources for bioinformatics."
scikit-image,,"Image processing in Python."
scikit-learn,,"A set of python modules for machine learning and data mining"
scikit-rf,,"Object Oriented Microwave Engineering."
scipy,scipy,"Scientific Library for Python"
scons,,"Open Source next-generation build tool."
seaborn,,"Statistical data visualization"
secretstorage,,"Provides a way for securely storing passwords and other secrets."
semantic_version,,"A library implementing the 'SemVer' scheme."
send2trash,jupyterlab,"Python library to natively send files to Trash (or Recycle bin) on all platforms."
service_identity,,"Service identity verification for pyOpenSSL."
setuptools,miniforge3,"Download, build, install, upgrade, and uninstall Python packages"
setuptools_scm,,"The blessed package to manage your versions by scm tags"
sh,,"Python subprocess interface"
shapely,,"Python package for manipulation and analysis of geometric objects in the Cartesian plane"
simplegeneric,,"Simple generic functions (similar to Python's own len(), pickle.dump(), etc.)"
simplejson,,"Simple, fast, extensible JSON encoder/decoder for Python"
singledispatch,,"Transforms a function into a single-dispatch generic function"
sip,,"Create Python bindings for C and C++ libraries"
six,miniforge3,"Python 2 and 3 compatibility utilities"
smart_open,,"Python library for efficient streaming of large files"
smmap2,,"A pure python implementation of a sliding window memory map manager"
snappy,,"A fast compressor/decompressor"
sniffio,jupyterlab,"Sniff out which async library your code is running under"
snowballstemmer,,"Snowball stemming library collection for Python"
snuggs,,"Snuggs are s-expressions for NumPy"
sortedcollections,,"Python Sorted Collections"
sortedcontainers,,"Python Sorted Container Types: SortedList, SortedDict, and SortedSet"
soupsieve,,"A modern CSS selector implementation for BeautifulSoup"
spacy,,"Industrial-strength Natural Language Processing"
sparkmagic,,"Jupyter magics and kernels for working with remote Spark clusters"
sphinx,,"Sphinx is a tool that makes it easy to create intelligent and beautiful documentation"
sphinx_rtd_theme,,"ReadTheDocs.org theme for Sphinx, 2013 version."
sphinxcontrib,,"Python namespace for sphinxcontrib"
sphinxcontrib-applehelp,,"a sphinx extension which outputs Apple help books"
sphinxcontrib-devhelp,,"a sphinx extension which outputs Devhelp document"
sphinxcontrib-htmlhelp,,"a sphinx extension which outputs HTML help"
sphinxcontrib-jsmath,,"A sphinx extension which renders display math in HTML via JavaScript"
sphinxcontrib-qthelp,,"a sphinx extension which outputs QtHelp document"
sphinxcontrib-serializinghtml,,"a sphinx extension which outputs `serialized` HTML files (json and pickle)."
sphinxcontrib-websupport,,"Sphinx API for Web Apps"
sputnik,,"a data package manager library"
spyder,,"The Scientific Python Development Environment"
spyder-kernels,,"Jupyter kernels for Spyder's console"
sqlalchemy,,"Database Abstraction Library."
sqlalchemy-utils,,"Various utility functions for SQLAlchemy"
sqlite,miniforge3,"Implements a self-contained, zero-configuration, SQL database engine"
sqlparse,,"A non-validating SQL parser module for Python."
statsmodels,,"Statistical computations and models for use with SciPy"
streamz,,"Manage streaming data, optionally with Dask and Pandas"
stripe,,"Stripe python bindings"
suds-jurko,,"Lightweight SOAP client (Jurko's fork)."
svn,,"Intuitive Subversion wrapper"
swig,,"C/C++ parser code generator"
sympy,,"Python library for symbolic mathematics"
tabpy-client,,"Python client library to manage Tableau Python Server."
tabpy-server,,"Web server Tableau uses to run Python scripts."
tbb,,"High level abstract threading library"
tblib,,"Traceback serialization library."
tempita,,"A small templating language"
tensorflow,,"TensorFlow is a machine learning library."
tensorflow-base,,"TensorFlow is a machine learning library, base GPU package, tensorflow only."
tensorflow-gpu,,"Metapackage for selecting a TensorFlow variant."
teradata,,"Script powerful interactions with Teradata Database"
termcolor,,"ANSII Color formatting for output in terminal."
terminado,jupyterlab,"Terminals served by tornado websockets"
testpath,jupyterlab,"a collection of utilities for Python code working with files and commands."
textdistance,,"python library for comparing distance between two or more sequences by many algorithms."
the_silver_searcher,,"A code searching tool similar to ack, with a focus on speed."
threadpoolctl,,"Python helpers to control the threadpools of native libraries"
three-merge,,"Simple Python library to perform a 3-way merge between strings"
thrift,,"Python bindings for the Apache Thrift RPC system"
tifffile,,"Read and write image data from and to TIFF files."
tk,miniforge3,"A dynamic programming language with GUI support. Bundles Tcl and Tk. / Tcl/Tk"
toml,,"Python lib for TOML."
toolz,,"A functional standard library for Python"
torchvision,,"Image and video datasets and models for torch deep learning"
tornado,matplotlib,"A Python web framework and asynchronous networking library, originally developed at FriendFeed."
tornado-json,,"A simple JSON API framework based on Tornado"
tqdm,miniforge3,"A Fast, Extensible Progress Meter"
traceback2,,"Backports of the traceback module 2.0"
traitlets,jupyterlab,"Configuration system for Python applications"
traits,,"explicitly typed attributes for Python"
traitsui,,"TraitsUI - Traits-capable windowing framework"
transaction,,"Transaction management for Python"
translationstring,,"Utility library for i18n"
twisted,,"An asynchronous networking framework written in Python"
typed-ast,,"a fork of Python 2 and 3 ast modules with type comment support"
typing,,"Type Hints for Python - backport for Python<3.5"
typing_extensions,,"Backported and Experimental Type Hints for Python"
tzdata,miniforge3,"The Time Zone Database (called tz, tzdb or zoneinfo)"
ujson,,"Ultra fast JSON decoder and encoder written in C with Python bindings"
unicodecsv,,"Drop-in replacement for csv module which supports unicode strings"
unidecode,,"ASCII transliterations of Unicode text"
unixodbc,,"ODBC on non MS Windows platforms"
urllib3,miniforge3,"HTTP library with thread-safe connection pooling, file post, and more."
uvloop,,"Ultra fast implementation of asyncio event loop on top of libuv."
vcversioner,,"Take version numbers from version control."
venusian,,"A library for deferring decorator actions"
virtualenv,,"Virtual Python Environment builder"
visvis,,"An object oriented approach to visualization of 1D to 4D data"
w3lib,,"Library of web-related functions"
waitress,,"Production-quality pure-Python WSGI server"
watchdog,,"Filesystem events monitoring"
wcwidth,jupyterlab,"Measures number of Terminal column cells of wide-character codes."
webencodings,jupyterlab,"Character encoding aliases for legacy web content"
webob,,"WSGI request and response object"
websocket-client,jupyterlab,"WebSocket client for python. hybi13 is supported."
webtest,,"helper to test WSGI applications"
werkzeug,,"The comprehensive WSGI web application library."
wget,,"utility for non-interactive download of files from the Web"
wheel,miniforge3,"A built-package format for Python."
whoosh,,"a fast, featureful full-text indexing and searching library implemented in pure Python"
widgetsnbextension,,"Interactive Widgets for Jupyter"
word2vec,,"Python interface to Google word2vec"
wrapt,,"Module for decorators, wrappers and monkey patching"
ws4py,,"WebSocket client and server library for Python 2, 3, and PyPy"
wsgiproxy2,,"A WSGI Proxy with various http client backends"
wtforms,,"A flexible forms validation and rendering library for Python"
wurlitzer,,"Capture C-level stdout/stderr in Python"
xarray,,"N-D labeled arrays and datasets in Python."
xerces-c,,"Xerces-C++ is a validating XML parser written in a portable subset of C++."
xlrd,,"Library for developers to extract data from Microsoft Excel (tm) spreadsheet files"
xlsxwriter,,"A Python module for creating Excel XLSX files"
xlutils,,"Utilities for working with Excel files"
xlwt,,"Writing data and formatting information to Excel files"
xz,miniforge3,"Data compression software with high compression ratio"
yaml,miniforge3,"A C library for parsing and emitting YAML"
yapf,,"A formatter for Python files"
yarl,,"Yet another URL library"
yt,,"Analysis and visualization toolkit for volumetric data"
zeromq,jupyterlab,"A high-performance asynchronous messaging library."
zfp,,"Library for compressed numerical arrays that support high throughput read and write random access"
zict,,"Composable Dictionary Classes"
zipp,jupyterlab,"A pathlib-compatible Zipfile object wrapper"
zlib,miniforge3,"Massively spiffy yet delicately unobtrusive compression library"
zope,,"web application server"
zope.deprecation,,"Zope Deprecation Infrastructure"
zope.event,,"Very basic event publishing system"
zope.interface,,"Interfaces for Python"
zope.sqlalchemy,,"Minimal Zope/SQLAlchemy transaction integration"
zstd,matplotlib,"Zstandard - Fast real-time compression algorithm"
